parliament_a,parliament_b,policy_similarity,shared_focus,n_a_to_b,n_b_to_a,relation_type,shared_target_cohort,tension_present,tension_nature,rationale,evidence_spans,confidence
HUN,EST,0.9576,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,6,61,mutual_acknowledged_alignment,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"Both Hungary and Estonia show explicit recognition of each other as allies in the context of migration policies, particularly regarding border control and the allocation of resources. They frequently mention each other in the context of shared strategies and positions.","[{""direction"": ""HUN->EST"", ""spans"": [""[2020] ... The V4 countries and the remaining five Member States, Slovenia, Latvia, Estonia, Austria and Denmark have not been able to accept compulsory solidarity."", ""[2020] ... On the basis of yesterday's discussion, it can be concluded that there is no agreement on the progress report, in addition to the V4 countries, i.e., Hungary, Poland, Slovakia and the Czech Republic, five other Member States, namely Slovenia, Latvia, Estonia, Austria and Denmark, have no"", ""[2021] ... Hungary protects the southern borders in various ways, including by building a fence, and in this we have followers to mention some countries: Greece, Spain, Bulgaria, Slovenia, Estonia, Lithuania, Latvia, Poland, and we see that, as the situation in Afghanistan changes, millions of people"", ""[2021] ... How can I, since fences are now being built in many European countries, including Spain, Slovenia, Bulgaria, Estonia, Latvia, Lithuania and Poland, as they know that this is the only way to stop migration.""]}, {""direction"": ""EST->HUN"", ""spans"": [""[2016] ... We know that Hungary, Macedonia and Bulgaria, too, have erected a barbed fence and put riot police and army on guard back there, but nevertheless people have been able to get through it."", ""[2018] ... However, Estonia is currently participating in over-rolling the sovereignty of the Member States of the European Union, undermining the countries on the line of sovereignty, namely Latvia, Hungary and Poland."", ""[2018] ... Hungary and Poland are the countries with which we must stick together."", ""[2022] ... Because indeed, Romania, Hungary and Poland are and, of course, we are also those countries with a higher percentage of refugees.""]}]",0.9
AUT,SVN,0.9572,refugees / border_control; refugees / national_security; refugees / international_law,64,923,administrative_coordination,refugees / border_control; refugees / national_security; refugees / international_law,false,,"The parliaments of AUT and SVN have a high level of policy convergence on issues related to refugees, border control, and national security. They engage in administrative coordination through shared practices and agreements, such as the restriction of migrant entry based on asylum applications in neighboring countries. The mentions are primarily focused on operational cooperation and mutual understanding of policies rather than explicit acknowledgment or complaint.","[{""direction"": ""AUT->SVN"", ""spans"": [""[2016] That is to say, it is difficult to do with genuine laws, and the UN High Commissioner for Refugees warns against deportations to Hungary or Slovenia, since these countries might then move these people to Serbia."", ""[2018] The situation is assessed politically differently by Slovenia."", ""[2018] At Slovenia I wondered because I thought the Balkan route was closed."", ""[2021] Cooperation with countries such as Denmark, the Salzburg Forum partners and the respective current and future Council Presidents, most recently Germany and now Slovenia, is particularly close.""]}, {""direction"": ""SVN->AUT"", ""spans"": [""[2016] At Thursday's meeting, the Government of the Republic of Slovenia decided, due to the expected restrictions on the entry of migrants into neighbouring Austria, that the Slovenian border could be crossed only by migrants who would apply for asylum in Austria, Germany or Slovenia."", ""[2017] Now that Austria has put in place this same ban, 130 euros in fines and now silence."", ""[2018] Slovenia had such arrangements with Austria and Hungary prior to entry into the Schengen."", ""[2021] In neighbouring Austria, vertical integration is possible but is limited, and in Finland, for example, both horizontal and vertical integration is prohibited and the Netherlands is a third case where the country has never set geographical or demographic criteria for the opening of pharmacies.""]}]",0.85
HRV,BGR,0.9565,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,34,7,silent_convergence,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"The parliaments of HRV and BGR have a high cosine similarity and share several focus areas related to refugees and border control. However, the cross-mentions are minimal, with only 7 mentions from BGR to HRV and 34 from HRV to BGR. The content of the mentions suggests that while there is some recognition of each other's positions, it is not explicit or reciprocal, indicating a silent convergence rather than active coordination or mutual modeling.","[""[2018] ... The risk of being a country of first entry into a situation where these people have not fallen , but come from the EU , specifically from Bulgaria and Greece , says that in fact , the scenario we had in 2015 . ..."", ""[2020] ... We have discrimination about the US that visas for our citizens with three other EU countries Bulgaria , Romania and Cyprus are not approved . ..."", ""[2020] ... Bulgaria is ahead of us on that point . ..."", ""[2020] ... Between Bulgaria and Turkey , possibly . ..."", ""[2016] ... After Croatia 's entry into the European Union , what is happening with the migrant wave or , more precisely , the great migration of the peoples , the issue of enlargement of the European Union is at a dead end . ..."", ""[2019] ... The programme has been developed in accordance with the European Commission Work Programme for 2019 . The priorities of the Troika Presidency of the Council of the European Union "", ""Romania , Finland and Croatia "", ""from 1 January 2019 to 30 June 2020 and the Programme of the Romanian Presidency of ..."", ""[2019] ... In Greece it is 39 % , in France it is 20 % , in Croatia it is 23 % and so on . ..."", ""[2019] ... Including , to respond to your attack , I have also been on a bilateral visit to Croatia with all the official meetings with their prime minister on the topics on which Bulgaria is host next year . ...""]",0.6
SWE,ISL,0.9553,refugees / border_control; refugees / national_security; refugees / international_law,5,162,mutual_complaint,refugees / border_control; refugees / national_security; refugees / international_law,true,mutual_complaint,"Both Sweden and Iceland frequently mention each other in the context of migration policies, with Sweden often highlighting the differences in how they handle refugees and Iceland questioning the success of refugee integration in Sweden. This indicates a mutual complaint about each other's policies.","[{""direction"": ""SWE->ISL"", ""spans"": [""[2016] At the annual session of the Nordic Council in Iceland at the end of October 2015, a debate was held on the refugee situation, and the differences between our countries became evident."", ""[2017] We will forget about our neighbours Norway and Iceland."", ""[2019] During the same period, more than 150,000 people applied for asylum in Norway, Finland, Denmark, and Iceland combined."", ""[2020] Iceland and the Faroe Islands respectively joined in 1965 and 1966.""]}, {""direction"": ""ISL->SWE"", ""spans"": [""[2020] How does the Minister consider that people in this position, i.e., the applicant for international protection, to a greater extent reaching Iceland than for e.g., to Denmark, Norway, Sweden?"", ""[2021] According to a recent estimate by the Pew Research Centre in the United States, this figure may reach 35%, i.e., that the Muslim population in Sweden could be about 35% by the middle of this century if the current trends remain unchanged."", ""[2021] According to a poll made by a company named Eurobarometer in 2018, 73% of Sweden thought that the adjustment of refugees had not been successful."", ""[2022] For example, last year the Icelandic government received 23 applications per 10,000 people, only eleven in Sweden, five in Finland, four in Denmark, and three in Norway.""]}]",0.85
POL,CZE,0.9548,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,35,120,mutual_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"Both Poland (POL) and the Czech Republic (CZE) have shown significant alignment in their migration policies, particularly focusing on refugees, border control, and resource allocation. The high cosine similarity and the substantial number of cross-mentions indicate a strong mutual influence. Poland often mentions the Czech Republic in the context of regional cooperation and shared challenges, while the Czech Republic frequently references Poland in discussions about refugees and economic impacts. This suggests a mutual modeling relationship where each country is learning from and adapting policies based on the other's approach.","[{""direction"": ""POL->CZE"", ""spans"": [""[2016] In March 2016, the Prime Ministers of Poland, the Czech Republic, Slovakia, Hungary, Lithuania, Latvia, Estonia, Romania and Croatia sent a letter to the President of the European Commission calling for concrete action by the European Commission, informing in this letter of the expected negative consequences of the current situation.""]}, {""direction"": ""CZE->POL"", ""spans"": [""[2020] In most of the total number of foreigners, this is done by the citizens of Ukraine, Slovakia, Vietnam and also by the citizens of Russia, Poland, Bulgaria and Romania.""]}]",0.9
AUT,NLD,0.9546,refugees / border_control; refugees / national_security; refugees / international_law,19,110,mutual_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Both parliaments frequently reference each other's policies on refugees and border control, indicating a mutual modeling relationship. The high cosine similarity and numerous cross-mentions suggest a strong alignment in policy approaches. However, the mentions are more about referencing rather than explicit acknowledgment of each other as models.","[{""direction"": ""AUT->NLD"", ""spans"": [""[2015] That's why Holland has a 10-day first, Switzerland has a 48-day first."", ""[2021] And yes, ladies and gentlemen, there is a need for an honest and objective discussion on the security of asylum seekers in those cases of the threat to security and order, which is also possible by Union law and which has already been implemented, for example, in Belgium and the Netherlands.""]}, {""direction"": ""NLD->AUT"", ""spans"": [""[2016] If the hotspots in those countries are not functioning and people simply go through the Western Balkans and Austria to Germany, Sweden and the Netherlands, you could say, if you are a little cynical, that they are already here."", ""[2021] Look at Austria and Germany: no extensive technical inspections; just make it affordable and easy.""]}]",0.7
LVA,EST,0.9542,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,58,168,mutual_complaint,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,true,mutual_complaint,"Both parliaments frequently mention each other in the context of migration issues, particularly regarding refugees and border control. However, the tone is predominantly critical, with LVA expressing concern over Estonia's actions and Estonia highlighting Latvia's stance and actions. This suggests a mutual complaint rather than a direct competitive rivalry.","[{""direction"": ""LVA->EST"", ""spans"": [""[2018] ... The question of Estonia is also, in my opinion, out of place. ..."", ""[2020] ... Estonia, Poland or Moldova ..."", ""[2021] ... We also see that our neighbours - Estonia and Lithuania - have maintained this six-month period within the framework of the current crisis. ..."", ""[2022] ... This is a topic for the future where Estonia, unfortunately, is taking steps ahead of us and offers these remote visa regimes much more competitive and interesting, including budget additions. ...""]}, {""direction"": ""EST->LVA"", ""spans"": [""[2018] ... Latvia refused to accept forced immigrants voluntarily because the Latvian government listened to its people. ..."", ""[2021] ... But they certainly operate there, and this information is exchanged with Latvia, Lithuania and Poland. ..."", ""[2021] ... These people are legal in Belarus, they have been granted visas to come to Belarus and they are trying illegally to cross the European Union's border, which Poland, Latvia and Lithuania are defending. ..."", ""[2022] ... Taking into account the population figures, not all numbers are going to be said, we have 2.9% of the population yesterday, in Latvia 1.5, half of the population. ...""]}]",0.8
SVN,HRV,0.9539,refugees / border_control; refugees / national_security; economic_migrants / integration,579,150,mutual_modeling,"refugees / border_control, refugees / national_security, economic_migrants / integration",false,,"Both parliaments frequently reference each other's policies and practices related to border control, refugees, and economic migrants. The high frequency of cross-mentions (579 from SVN to HRV and 150 from HRV to SVN) suggests a mutual modeling relationship where each parliament looks to the other for policy inspiration. The explicit references to joint border control and the desire for Schengen area entry indicate a level of alignment and mutual learning.","[""[2016] That the agreement on joint control of the Slovenian border with the assistance of Austria and Germany provided for joint registration in the Slovenian territory and that Croatia was not included, which is of crucial importance, since it protects the external Schengen border."", ""[2018] I don't understand why this can't be done in Croatia."", ""[2019] Let them stay in Croatia because of me, let them take them wherever they want."", ""[2021] I have always been, and I believe, that most citizens, too, are a great advocate of Croatia entering the Schengen area."", ""[2017] Article 1 also states: “It is not the condition that the ancestors of the person who wants to get status come from areas where the Republic of Slovenia is today, the ancestors of the person who wants to get status can come from outside the present borders of the Republic of Slovenia” or in Artic"", ""[2020] But in this situation, when countries introduce measures, they introduce measures that are not exactly the same from, from country to country, we could not tell you whether someone can travel freely to Slovenia or, or Hungary."", ""[2020] We didn't arrest, we didn't stop it, but to make it worse, and the Italians, the Trstian police gave a report during that period where they arrested 800 such people who even went through Slovenia."", ""[2022] It is a problem with the difficulty of crossing the border on which the population of the border area and one part of Istria County, especially the day-to-day migrants from northern and northwest Istria, people who travel daily to work in Slovenia or Italy.""]",0.9
CZE,BGR,0.9538,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,48,8,mutual_complaint,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,true,mutual_complaint,"Both parliaments frequently mention each other in the context of migration issues, particularly regarding refugees and border control. The Czech Republic mentions Bulgaria's stance on border measures and the presence of Czech officers, while Bulgaria criticizes the Czech Republic and its neighbors for their policies. Both countries express concerns and complaints about each other's actions and policies.","[{""parliament"": ""CZE"", ""year"": 2016, ""span"": ""But the proposal at the border of Macedonia - Bulgaria is the building of Minskengen.""}, {""parliament"": ""CZE"", ""year"": 2018, ""span"": ""The Polák do n't want it, Bulgaria does n't want it either, we have 40 of our officers in Macedonia, so we can help send if there's a crisis, our cops and money we can use in part, not all of them, on some kind of deal.""}, {""parliament"": ""CZE"", ""year"": 2019, ""span"": ""They are bothered by migrants and workers from Bulgaria, the Czech Republic and Poland.""}, {""parliament"": ""CZE"", ""year"": 2022, ""span"": ""We, as the Czech Republic, have initiated negotiations - I am handing over the relay personally at the moment, because the Presidency of the Czech Republic is approaching - with eight countries, Croatia has now joined, where the so-called joint appeal is to the European Commission, and the E""}, {""parliament"": ""BGR"", ""year"": 2015, ""span"": ""Honourable MPs, the many stories of stability lead to a permanent instability in Bulgaria. Yesterday the World Bank found it in another report that the growth of gross domestic product, the growth of the economy in Bulgaria is very different from that of our neighbours Poland, Romania, the Czech""}, {""parliament"": ""BGR"", ""year"": 2017, ""span"": ""The Czech Republic, Poland and Hungary said 'no', we will not accept any further.""}, {""parliament"": ""BGR"", ""year"": 2017, ""span"": ""Yes, because in Europe they are already building fences among themselves.. Hungary, Czech Republic, Slovakia.""}, {""parliament"": ""BGR"", ""year"": 2021, ""span"": ""It does not seem very civilized, but this is the way they have solved their problems both Poland and Hungary and the Czech Republic and Germany by attracting people of their origin, or at all by attracting and enabling access to the labour market.""}]",0.85
POL,HUN,0.9532,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,68,141,mutual_complaint,refugees,true,mutual_complaining,"Both countries frequently express complaints about each other regarding the handling of the refugee crisis. Poland criticizes Hungary's approach and actions towards refugees, while Hungary complains about Poland's migration policies and the influx of migrants. These complaints are evident in the sample mentions where each country accuses the other of mishandling the situation.","[{""country"": ""POL"", ""text"": ""Hungarians have had and still have several tens of thousands of refugees and, unlike us, at least know what it is."", ""year"": 2016}, {""country"": ""POL"", ""text"": ""They prefer to walk, seek media applause among unstable, infantile, emotionally immature people, acting as great human rights defenders, where it is enough to look at the example of the migration crisis in Hungary a few years ago to see that what they are doing simply leads to misery and to inc"", ""year"": 2021}, {""country"": ""HUN"", ""text"": ""The following legal battle will therefore take place with the Commission in connection with the mandatory relocation of asylum seekers, unless the Commission recognises that the quota decision is no longer relevant in Hungary or in the Czech Republic and Poland, which are also subject to proceeding"", ""year"": 2017}, {""country"": ""HUN"", ""text"": ""In Poland, the situation between migrant workers and the Polish people is becoming increasingly tense."", ""year"": 2019}]",0.85
AUT,BGR,0.9523,refugees / border_control; refugees / national_security; refugees / international_law,29,30,mutual_acknowledged_alignment,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Both AUT and BGR frequently reference each other's policies and actions regarding border control and security measures for refugees. They also engage in meetings and collaborative efforts, indicating a mutual recognition and alignment on these issues.","[{""direction"": ""AUT->BGR"", ""spans"": [""[2016] Today we have border fences in Bulgaria, Macedonia and our southern border to get hold of the disorderly and illegal entry."", ""[2018] Australia, Israel, Bulgaria, Czech Republic, Estonia – follow up."", ""[2018] Today, the Czech Republic, Bulgaria, Estonia and Poland have already decided not to enter;"", ""[2022] Here we go hand in hand with Bulgaria.""]}, {""direction"": ""BGR->AUT"", ""spans"": [""[2016] I would like to remind you that yesterday even the Prime Minister of Hungary at his meeting with the Chancellor of Austria said that Hungary is 100% protected from crossing migrants along the border with Serbia, and that there are 8,000 policemen and soldiers at the Hungarian border with Serbia."", ""[2018] Yesterday, at our invitation, we had a meeting with the Ambassador of Austria at BSP headquarters."", ""[2019] Plus, we are hosting the Berlin process involving the Chancellors of Germany and Austria, the President of France, the Prime Minister of Great Britain, Poland and the leaders of the Western Balkans."", ""[2021] My two granddaughters will probably never come back from Austria again.""]}]",0.9
AUT,GRC,0.9518,refugees / border_control; refugees / national_security; refugees / international_law,263,47,mutual_acknowledged_alignment,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Both AUT and GRC exhibit strong alignment on policies related to refugees, border control, national security, and international law. The samples show explicit recognition and discussion of each other's approaches, indicating a mutual acknowledgment of each other as models or allies in this domain.","[{""direction"": ""AUT->GRC"", ""spans"": [""[2015] ... Greece goes, puts these so-called refugees in ferry - the ferry companies make a huge business, this industry is expanding in Greece; there you can ask, everything is not a secret – and creates it on the mainland instead of registering it."", ""[2017] ... The chancellor, who has rather received a restrictive attitude from the SPÖ, then finally insists that this redistribution, which is to be carried out in Europe, this resettlement, in which one gets from Greece, Italy and elsewhere – the Minister of the Interior even dreams that they will be b..."", ""[2020] ... You do not have to do this either, ladies and gentlemen of the government parties, you do not need to take an initiative, you only need to join those countries that have already shown that it is possible and that it is urgently necessary not to leave Greece alone, to clear these camps and to a..."", ""[2021] ... We know that the Turkey-EU deal is also fragile, and Mr Erdoğan could at any time produce such pictures as we now see them on the border between Poland and Belarus, namely at his external borders with Greece and Bulgaria, ladies and gentlemen.""]}, {""direction"": ""GRC->AUT"", ""spans"": [""[2016] ... On the other hand, I think that the outbreak of Euroscepticism, as expressed in all the latest events, but also in what we have before us, is the famous referendum on refugees in Hungary, which is on the table, reminds us of the Austrian elections for the President of the Republic, which are..."", ""[2020] ... We applied for membership of Austria's International Centre for Migration Studies, which has seventeen countries, has a great influence, it is Turkey in and is not Greece."", ""[2020] ... You set up a show in Evros and called on your counterparts to show them how good you are to make Europe's fold dog, so that the refugees would not upset their electoral ties in Austria and Germany."", ""[2021] ... He said, and the Austrian Interior Minister at a press conference said: 'When it comes to preventing illegal immigration, Tunisia's borders are equally bordered by Austria'.""]}]",0.9
AUT,NOR,0.9514,refugees / border_control; refugees / national_security; refugees / international_law,9,13,mutual_acknowledged_alignment,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Both AUT and NOR frequently reference each other's policies and actions regarding refugees, border control, and national security. They acknowledge each other's stance on these issues, indicating a mutual alignment. The high cosine similarity and numerous cross-mentions support this alignment.","[{""direction"": ""AUT->NOR"", ""spans"": [""[2016] ... As I do with my opinion, you can see from the fact that most of the refugees do not accept offers, to Luxembourg, to Norway, to Portugal – precisely in expectation, there is at some point the savior word or the redeeming opening towards Germany and everything is as before."", ""[2018] ... We are moving to Afghanistan just as other European countries do, just as Sweden does, just as Germany does, and just as it does Norway."", ""[2018] ... These are Germany, Denmark, Norway, Sweden and France."", ""[2018] ... Similar assessments and conclusions have been reached and other European countries, which have repeatedly introduced border controls, such as France, Germany, Denmark, Sweden and Norway.""]}, {""direction"": ""NOR->AUT"", ""spans"": [""[2016] ... This is reflected in many European countries, now at last through the very close and very exciting presidential elections in Austria, which stood between two outer candidates, where the party of the one, who was almost elected head of state, has a relationship with and a view to Islam, the Jew."", ""[2016] ... Norway, together with Sweden, Germany, Austria and Denmark, took the initiative to extend temporary internal border controls because we believe that the refugee situation is still challenging for Europe and because the control of the Schengen external border is still insufficient."", ""[2017] ... But we know that once you have come to a safe country, there are many who go on – from Austria to Germany to Denmark to Sweden and Norway."", ""[2018] ... Australia, Chile and Israel and the EU countries Hungary, Austria, Poland, Bulgaria, Latvia, Slovakia and the Czech Republic have opted not to participate.""]}]",0.9
GRC,SWE,0.9511,refugees / border_control; refugees / national_security; refugees / international_law,48,193,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Greece (GRC) frequently mentions Sweden (SWE) in the context of managing refugee influxes and border control, indicating that Greece is modeling its policies after Sweden's approach. However, there is no evidence of reciprocal mentions or explicit acknowledgment from Sweden that it is being modeled after Greece.","[{""direction"": ""GRC->SWE"", ""spans"": [""[2016] ... **Sweden ?** ..."", ""[2020] ... **Now , if we add to all our country 's problems , then the situation is even worse , with the view that if we do not act immediately , we will experience conditions similar to Sweden , with a country that has rich and organised , but which has failed to cope with the influx of hundreds of thousands o** ..."", ""[2020] ... **When they do not realize that their access to the rest of Europe will never be allowed , and the financial support offered to them by the NGOs or our state will be stopped , they will behave according to the other countries , such as Sweden , France , Belgium , etc. , that is to say they will create** ..."", ""[2021] ... **A prerequisite for access to the fund is the application of the rules and principles of bailout by the same means as set out in the Bank Recovery and Restructuring Directive , as well as in the Single Resolution Mechanism Regulation where the contract concerned was signed by the twenty - six Member ** ...""]}, {""direction"": ""SWE->GRC"", ""spans"": [""[2016] ... **Unfortunately , this is the case , because Turkey is not a safe country of asylum , and that is where people should be expelled directly from Greece .** ..."", ""[2017] ... **The period of prosperity of labour immigration was , of course , in the 1960s and 1970s , when tens of thousands of people from Turkey , Greece , Italy and Yugoslavia came to Sweden .** ..."", ""[2020] ... **Therefore , I would like to ask Minister for Migration Morgan Johansson : What is the readiness of the government and the authorities in the event that Greece and the EU are unable to keep the border and Sweden is facing a new wave of refugees ?** ..."", ""[2021] ... **When the Turkish regime threatened to send all its refugees to the border with Greece , the EU reacted by keeping people on the run from Europe at all costs .** ...""]}]",0.85
POL,NOR,0.951,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,15,87,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"POL frequently mentions NOR in the context of migration policies, indicating that POL is modeling its policies after NOR. However, NOR does not reciprocate this by mentioning POL in a similar context, suggesting a one-way influence.","[""[2017] ... This is particularly true for countries that are aimed at intense migration - Great Britain , Germany , Belgium , the Netherlands and Norway . ..."", ""[2018] ... Besides , it is not only in Norway , but also in the Netherlands , everywhere in Europe there is such a reception of Polish children . ..."", ""[2018] ... In Norway in a special way ..."", ""[2019] ... Now Mrs. Anna Maria Siarkowska asks a question about the assistance provided by Polish consular posts to parents residing in Norway , whose office Barnevernet takes away children . ...""]",0.85
NLD,ESP,0.9506,refugees / border_control; refugees / international_law; refugees / national_security,125,3,silent_convergence,refugees / border_control; refugees / international_law; refugees / national_security,false,,"The parliaments have a high cosine similarity and share several focus areas related to refugees and border control. However, the cross-mentions are minimal, with only 3 mentions from ESP to NLD and 125 from NLD to ESP. This suggests that while there is convergence, it is not being actively acknowledged or discussed in a reciprocal manner.","[""[2017] ... Then the question was, what if Spain would do that anyway? ..."", ""[2019] ... You have mentioned a number of countries, but Spain, France and Luxembourg were not among them. ..."", ""[2019] ... It would all be diversity, but for our culture there is no place anymore and Black Piet should be in the bag, linea recta back to Spain. ..."", ""[2022] ... A country like Spain is now making agreements with countries on how to get people into the country who can help with temporary labour migration and who can then return with the knowledge gained. ..."", ""[2016] ... Of the 14,600 requests registered by Spain, only 3,240 dossiers have been resolved, 31%, compared to countries such as Germany, which resolves 57% of the dossiers despite having a larger volume, or the Netherlands, which resolves 80%. ..."", ""[2017] ... Germany, for the refugee issue, has put $6.2 billion; the United Kingdom, 613; France, 426; Italy, 1650; Holland, 460; Sweden, 824; Norway, 847; Spain, 32 million euros, ladies and gentlemen. ..."", ""[2018] ... Many were the commitments made when the disease was serious and some forget that the European Deposit Guarantee System should be tackled; I believe that the Spanish Government should be brought into line with the approaches of the French Government, knowing that the Netherlands and other powerful ...""]",0.3
SWE,ESP,0.9495,refugees / border_control; refugees / international_law; refugees / national_security,17,10,mutual_complaint,refugees / border_control; refugees / international_law; refugees / national_security,true,mutual_complaint,"Both Sweden and Spain frequently mention each other in the context of managing refugee crises and express dissatisfaction with each other's performance. Sweden criticizes Spain for cutting aid to refugee camps and Spain criticizes Sweden for having higher unemployment, implying that Sweden is not doing enough. This mutual criticism suggests a tense relationship.","[{""direction"": ""SWE->ESP"", ""spans"": [""[2017] We are in a difficult situation; there are several who have cut back on aid to the Sahrawi refugee camps, such as Spain."", ""[2020] This means, in practice, that if the European Union's regulatory framework is to be maintained, the very great responsibility for dealing with refugee crises in the southern European countries of the Mediterranean, especially Greece and also Italy, Spain and so on."", ""[2022] If you are satisfied with being a little better than Italy, Greece and Spain, perhaps you can express yourself as the Minister for Economic Affairs did."", ""[2022] Yes, we have lower unemployment than Spain, Greece and Turkey, but it is also only those who have higher unemployment than we do.""]}, {""direction"": ""ESP->SWE"", ""spans"": [""[2015] This is the case in Sweden, with more than 5,000 political asylum seekers from the conflict in Syria, or in Spain, which, two years late at the end - and this is a debate that does not correspond to the Minister of Defence but to the Minister of Foreign Affairs and the Minister of the Interior -"", ""[2018] We believe it is important to develop a human rights policy, because there are countries whose international presence derives from their human rights policy; I am thinking of Sweden or Switzerland."", ""[2022] Ladies and gentlemen, look around, open your eyes and look at France, look at Germany or look at Sweden."", ""[2022] When you, Mr Contreras, propose without any motivation to increase the period of legal residence to fifteen years instead of the current ten, obviating even that in countries such as France, the United States or Sweden this period is only five years, or when you propose to increase to two years""]}]",0.85
AUT,POL,0.9488,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,66,24,silent_convergence,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"The parliaments show strong convergence in their migration policies, particularly in handling refugees, border control, and resource allocation. However, the cross-mentions are relatively low, suggesting that this convergence might be driven by external factors rather than direct interaction or explicit acknowledgment.","[{""direction"": ""AUT->POL"", ""spans"": [""[2016] ... Are you extending this missile shield from Poland to Burgenland ? ..."", ""[2021] ... Unfortunately , eight victims are immigrants – from Syria , Romania , Poland , Afghanistan , Somalia . ..."", ""[2022] ... It is overwhelming – more than 1.2 million refugees are now in Poland – what the population in Poland is willing to take on . ..."", ""[2022] ... In such situations , which may occur at any time , there would have been a need for European cooperation with Poland . ...""]}, {""direction"": ""POL->AUT"", ""spans"": [""[2016] ... In countries that have had a hard time , e.g. in Austria , actually also ..."", ""[2019] ... The Presidency has shown that this is a key priority for Austria by organising an informal summit in Salzburg on security issues , including in the context of migration . ..."", ""[2020] ... Provisions allowing such a joint stay have already been introduced , among others . Czech Republic , Denmark , Norway , the Netherlands , Austria or Switzerland . ..."", ""[2021] ... So that not only Slovenia , Croatia , Austria , but also Spain , because of different conditions , in these 2 compartments in Africa , as well as Greece , also other countries , such as Lithuania , Latvia and Estonia , which also build such fences . ...""]}]",0.7
GBR,BGR,0.9479,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,0,90,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"GBR and BGR have converged on similar migration policies, particularly in the areas of refugees, border control, and national security. However, GBR does not mention BGR at all, indicating that BGR is modeling GBR's policies without any reciprocal acknowledgment or interaction.","[""[2019] ... The citizens of the United Kingdom and the members of their families who, on the day following the date of withdrawal of the United Kingdom from the European Union, have entered and reside legally in the Repub... "", ""[2020] ... As for your question, what measures have we taken to ensure the smooth residence of Bulgarians in Britain after Brexit, I would like to draw attention to the fact that the United Kingdom strongly insists after 31 December 2020, after the end of the transitional period, to exercise its full sover... "", ""[2020] ... I think you should not underestimate the Bulgarian citizens in Britain. "", ""[2020] ... We will support the draft Council of Ministers with regard to these citizens, namely those subjects of the Kingdom of Great Britain, who have started a procedure for obtaining Bulgarian citizenship, but as a result of the fact that Britain left the European Union, problems are being created. ""]",0.95
NLD,BEL,0.947,refugees / border_control; refugees / international_law; refugees / national_security,146,407,mutual_modeling,refugees / border_control; refugees / international_law; refugees / national_security,false,,"Both the Netherlands (NLD) and Belgium (BEL) have engaged in frequent cross-mentions, with a higher number of mentions from NLD to BEL (146) compared to BEL to NLD (407). The shared focus areas indicate a strong alignment on policies related to refugees, border control, and international law. While there is mutual recognition of each other's roles and contributions, the primary interaction seems to be in the context of policy coordination and learning from each other rather than explicit acknowledgment of being models or allies.","[{""direction"": ""NLD->BEL"", ""spans"": [""[2016] Those people will be out of state in Belgium."", ""[2019] I have already asked the Secretary of State whether we cannot cooperate with Belgium and Germany and whether there can be a European registration system."", ""[2020] Then there is the motion by Mr Van der Molen / Palland to item No. 64 in which the government is invited to enter into consultations with Belgium and Germany to improve the situation for border entrepreneurs and to inform the Chamber before 1 July."", ""[2022] This happens in Germany, Belgium, France and all other countries, but this cabinet makes the choice not to do so and thus to grant less rights to Ukrainians.""]}, {""direction"": ""BEL->NLD"", ""spans"": [""[2017] I think we can say that the Netherlands has always played a leading role in the field of equality legislation and its enforcement and in the field of employment of women and people with a migration background."", ""[2021] As far as the 700 new employees are concerned, if I have learned one thing from the Netherlands, wherever we went, the difference in numbers between the staff in the Netherlands and our staff is really significant."", ""[2021] I note that the Centraal Body is looking for asylum seekers in the Netherlands in every possible way for additional places and that it has already received 350 refugees in a hotel."", ""[2022] The Netherlands averages a little longer, but in the Netherlands the inflow and workload is very high at the moment, as in Belgium.""]}]",0.8
