source,target,n,rule_based_label,positioning,confidence,rationale,evidence_span
BEL,AFG,136,coercion_intervention_to,object_of_pressure,0.85,"The mentions frequently discuss Afghanistan in terms of challenges and concerns, particularly regarding asylum, unaccompanied minors, and forced returns. The language suggests Belgium is addressing issues related to Afghanistan and possibly pressuring or providing guidance on how to handle the situation.","[""discussed Afghanistan specifically"", ""highlighted the challenges of asylum, unaccompanied minors and return"", ""I am very concerned about this, especially because you say that this regime in Afghanistan will not allow for forced return""]"
CZE,SYR,135,learning_emulation_from,neutral_reference,0.8,"The mentions of Syria (SYR) in the context provided are primarily related to discussions about migration, refugees, and the European Union's strategy. There is no clear positive or negative framing, nor is there any indication of cooperation or pressure. The focus seems to be on factual information and policy discussions rather than a normative stance.","[""I would have asked the Minister if, during the negotiations which he attended in the European Parliament in Brussels, this issue is not only that the main migration wave currently in Syria, whether this is at all taken into account, whether these undisputable quotas are being taken into account"", ""If the BIS report, which has been published, talks about some persons leaving the Czech Republic for Syria probably fighting in the ranks of the Islamic State, it is not the citizens of the Czech Republic"", ""Another vote took place on the same day, in which the European Parliament adopted a resolution on the European Union's strategy in Syria"", ""And can you also explain why government MEPs, ČSSD, YES and KDU - ČSL voted on 18 May this year for mandatory quotas for the Czech Republic to receive so-called refugees from Syria?"", ""Of course, the entrance to Syria generates other refugees, another refugee wave, which therefore rises and goes on to Europe.""]"
AUT,DEU,135,learning_emulation_from,cooperation_partner,0.8,"The mentions indicate ongoing discussions and reforms where Austria and Germany collaborate, such as recognizing professional licenses and discussing euro area reforms. This suggests a cooperative relationship rather than emulation or pressure.","[""In fact, we have always demanded that what makes you professional in Germany, for example, be recognized for a commercial license in Austria."", ""Today, there are also two important points on the agenda, namely the Brexit negotiations and the second proposals by Germany and France on the reform of the euro area.""]"
POL,BLR,130,coercion_intervention_to,object_of_pressure,0.85,"The mentions consistently frame Belarus as a target of pressure and coercion, particularly in the context of migration policies and economic measures. Phrases such as 'pressure Belarus' and 'brutally exploited by Belarus' indicate a coercive relationship.","[""It must be clear that refugees, immigrants cynically deceived and brutally exploited by Belarus are here a victim."", ""It has become clear that our allies from NATO and the European Union are beginning to pressure Belarus themselves, for which they are criticized by the Polish President, although this already has positive results.""]"
ESP,TUR,128,exchange_cooperation,cooperation_partner,0.8,"The mentions indicate a cooperative relationship, such as providing financial support ('3 billion euros to Turkey') and discussing dialogue and negotiations ('negotiating mandate approved by the Member States'). These suggest that Turkey is seen as a partner in addressing migration issues.","[""[2016] ... You have put a price on human lives : 3 billion euros to Turkey ..."", ""[2016] ... We propose a series of measures, in particular 25: to restore the possibility of applying for asylum in all the Spanish embassies and consulates; the relocation and immediate resettlement of the 17,000 refugees committed by Spain; ..."", ""[2018] ... I would remind you that the negotiating mandate approved by the Member States allows Brussels to open dialogues on behalf of the Union with eight countries: Algeria, Egypt, Israel, Jordan, Lebanon, Morocco, Tunisia and Turkey. ...""]"
HRV,DEU,126,learning_emulation_from,warning_case,0.8,"The mentions often refer to negative outcomes associated with the mentioned country (Germany), such as the influx of refugees and economic issues. The speaker seems to caution against following Germany's example.","[""And if the Afghans were worse than they were, and that's what I'm saying again, in 2000, in Germany, there was, i.e. 5,000 refugees came to Germany from Afghanistan."", ""2/3 of Croatia we have empty in Germany, in Ireland, people have taken jobs there, now they are sending to their families through the foreign exchange codes.""]"
EST,FIN,126,learning_emulation_from,model_to_emulate,0.85,"The speaker frequently refers to Finland as a positive example, citing its practices in areas such as humanitarian crises, workforce contributions, and state-bank relations. Phrases like 'I also like this example of Finland' and references to beneficial practices in Finland suggest emulation.","[""[2021] While Estonia contributes mostly to the workforce in Eastern Europe in seasonal work, it has become a habit for the people of Estonia to do additional work in Finland and also to gain international experience."", ""[2022] Indeed, I also like this example of Finland.""]"
FIN,TUR,124,exchange_cooperation,cooperation_partner,0.85,"The mentions emphasize Finland's and Turkey's special relationship and joint efforts, particularly regarding the Syrian refugee crisis. This indicates a cooperative partnership rather than a negative or neutral stance.","[""[2018] ... Finland has a special relationship with Turkey, the European Union has a special relationship with Turkey because we have jointly dealt with this Syrian refugee crisis ..."", ""[2018] ... The Committee on Foreign Affairs visited London and we also met with the Foreign Affairs Committee in the upper room, and I asked the lords how they saw NATO's role in this: should NATO not react when NATO's member countries, Poland, Hungary and Turkey, violate human rights and fundamental pr...""]"
SVN,ITA,124,learning_emulation_from,cooperation_partner,0.85,"The speaker frequently mentions Italy in the context of joint actions and shared responsibilities, such as mixed patrols and providing assistance. This indicates a cooperative relationship.","[""Mixed patrols with Austria, Italy and Hungary as Schengen countries are being organised as regards the safety phenomenon of larger cross-border dimensions."", ""On ensuring successful integration, on the consistent provision of assistance to Italy and Greece.""]"
HUN,TUR,124,exchange_cooperation,cooperation_partner,0.85,"The mentions highlight Turkey as a key player in regional issues, particularly in migration and economic support. The speaker emphasizes the importance of Turkey’s role and the need to pay attention to its activities, indicating a cooperative relationship.","[""This agreement is also based on mutual respect , and on the possibility that together we are NATO allies , so Turkey is the direct ally of the United States and Hungary , a regional power that , as the congresswoman has pointed out here , is doing a great deal to ensure that Europe is not flooded by"", ""The Turkish position is particularly important to us from the point of view of migration , as Turkey is a key factor in the Middle East ."", ""If you follow the Turkish developments and look out for a little in our region , you will see that there are few powers in our region , such as Turkey , which is extremely active in the Balkans and has taken very important positions with economic support , which is why we have to pay attention to th""]"
ISL,DNK,124,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to Denmark as a positive example, suggesting emulation. For instance, in one snippet, the speaker states that Iceland has increased its capitalism sixfold compared to Denmark, implying Denmark as a successful model. Another snippet suggests taking Denmark as a role model for handling refugees.","[""[2021] Today, Iceland has a six-fold increase in capitalism compared to Denmark and Norway, three times as many as in Finland, so it can hardly be improved."", ""[2022] We now hear reports from Denmark, where Denmark has in mind helping people with international protection for Rwanda, the same arrangement that the British have introduced.""]"
GRC,DEU,123,learning_emulation_from,object_of_pressure,0.85,"The mentions indicate that Germany is often portrayed as a target of pressure or coercion, particularly regarding border control and migration issues. For example, the speaker refers to efforts to pressure Greece not to guard its borders and to relive the clientele of previous years, suggesting a coercive stance from Germany.","[""Nor can Germany go out and say the same thing and go out all the parties here curiously and all the journalists - the well - known parrots - and you want to force the Greek people to make a vaccine that you are not sure will not have any side effects."", ""I told you that there is an organised effort from the poachers ' circuits to produce material to pressure our country not to guard its borders, to relive the clientele of the previous years, to make hundreds of millions of profits in their pockets, these poachers, who carry people from the ' saf""]"
SVN,GRC,123,learning_emulation_from,object_of_pressure,0.8,The mentions frequently refer to Greece as a country that has failed to respect Schengen rules and is criticized for its handling of migration issues. The context suggests that Greece is being pressured to comply with EU standards and agreements.,"[""[2016] ... it is that country that has failed for the first time in history in addition to Greece and has failed to respect the Schengen rules ..."", ""[2016] ... critical of the indecisive nature of the European institutions in solving the problem and of the content of the recent EU agreement with Turkey on limiting the flow of refugees to Greece ..."", ""[2019] ... Erdogan is now allowing somewhere between 500 and 1,000 illegal migrants to board and then take boats to Greece ...""]"
HUN,UKR,120,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to Ukraine as a model or example for Hungary to emulate, particularly in the context of handling the refugee crisis. Phrases such as 'look at the example of our Visegrád partners' and mentioning Hungary's response to the war in Ukraine suggest that Ukraine is being held up as a positive reference point.","[""For those who are forced to leave their homes in Ukraine, we provide assistance to nearly one million refugees from the outbreak of the war: we have established several transit accommodations and points of assistance throughout the country, we continuously provide for the placement of children in"", ""There are countries in Central Europe, for example, look at the example of our Visegrád partners, which have chosen the way to see Ukraine import a very large amount of labour from neighbouring countries which are basically east of us.""]"
BEL,IRQ,119,learning_emulation_from,neutral_reference,0.8,"The mentions of Iraq in the provided snippets are generally factual and do not carry a positive or negative connotation. The speaker refers to Iraq in contexts such as interventions, refugee flows, and support proposals without expressing emulation, warning, partnership, or pressure.","[""Since the people involved – probably from Iraq and Iran – were unable to present valid identity papers and appeared to be illegally in Belgium , the police imposed administrative deprivation of liberty on them ."", ""What I find particularly hypocritical , however , is pretending that the refugee flows that arrived in 2015 - 2016 I , as the competent State Secretary , have been working on this because of the intervention of the West in Iraq and Syria ."", ""In this context , the Commission has presented a proposal for continued support to refugees and their host communities in Lebanon , Jordan , Syria and Iraq for the period 2021 - 2024 .""]"
SWE,DNK,118,learning_emulation_from,model_to_emulate,0.9,"The speaker parliament frequently refers to Denmark as a positive example to emulate, particularly in areas such as asylum policies, criminal law, and democratic society. Phrases like 'take from Denmark that has been effective' and 'what a Swedish democratic society had looked like may be able to look at Denmark' indicate a strong positive stance towards Denmark.","[""We received six times more per capita than Denmark"", ""asked the investigator to look specifically at whether it is something that we can take from Denmark that has been effective"", ""may be able to look at Denmark, where the Danish People's Party has gained quite a lot of influence""]"
NLD,CUW,117,learning_emulation_from,object_of_pressure,0.85,"The mentions frequently refer to Curaçao (CUW) in the context of immigration and detention issues, suggesting a need for pressure or reform. Phrases like 'put a stop to the problems' and 'imposing requirements' indicate a stance of coercion or demand.","[""[2016] ... or do we want to put a stop to the problems by imposing requirements on people from these parts of our kingdom"", ""[2019] ... As long as there is no return, those people are placed in foreign detention""]"
HRV,TUR,117,exchange_cooperation,cooperation_partner,0.85,"The mentions emphasize dialogue, cooperation, and mutual agreements, such as respecting the 2016 agreement between Turkey and the EU, and discussions about future refugee migration crises. These indicate a cooperative relationship rather than a negative or neutral stance.","[""continued dialogue with Turkey"", ""insisting on respecting the 2016 agreement between Turkey and the EU"", ""adopted measures that allowed Greece to defend itself against illegal migration""]"
ISL,USA,117,learning_emulation_from,model_to_emulate,0.85,"The mentions frequently refer to the United States in a positive light, suggesting emulation. For instance, 'We watch, for example. In Afghanistan, U.S.A., the responsibility of the United States is great.' This implies that the speaker parliament views the U.S. as a positive model to follow.","[""[2021] ... We watch, for example. In Afghanistan, U.S.A., the responsibility of the United States is great. ..."", ""[2022] ... For protection, some may fall into this great struggle with the United States. ...""]"
GBR,LBY,116,coercion_intervention_to,object_of_pressure,0.8,"The mentions frequently refer to Libya (LBY) in the context of military efforts, migration, and humanitarian aid, often framed as a target of intervention and pressure. For example, the speaker discusses the need for a 'robust and better co-ordinated military effort' against IS in Libya and mentions providing aid to refugees from Libya among others.","[""a more robust and better co-ordinated military effort against IS, including, I suggest, an extension of our air strikes into IS-controlled parts of Syria"", ""further £30 million in UK aid to assist refugees and migrants across...Libya"", ""the approach to no less terrified victims of other wars, such as...Libya""]"
HUN,USA,116,coercion_intervention_to,cooperation_partner,0.8,"The mentions indicate a cooperative relationship, particularly in the context of NATO and the fight against international terrorism. The speaker acknowledges and aligns with U.S. policies and actions, suggesting a partnership rather than pressure or criticism.","[""[2017] ... We see that NATO and the new US government, as well as the new US administration, want to pay more and more attention to the fight against international terrorism and to the resolution of the migration crisis, which, of course, Hungary welcomes, as we have been expressing this view since the b..."", ""[2018] ... Now, however, not only in Europe, but also in the United States, the Soros network is working intensively to force its political and social ideas on people.""]"
SVN,TUR,116,exchange_cooperation,object_of_pressure,0.8,"The mentions often frame Turkey as a source of migrants causing concern, particularly in the context of the EU, which implies pressure and potential sanctions. For example, the mention of Turkey being removed from the list of safe countries suggests a coercive measure.","[""[2017] ... when , in one week or even less than a week , almost 2,000 migrants arrived from Turkey in the European Union area ..."", ""[2018] ... the blackmail of Turkey with regard to migrants in exchange for billions ..."", ""[2019] ... the government amended the decree and removed Turkey from the list of safe countries ... ""]"
HUN,SRB,114,learning_emulation_from,object_of_pressure,0.8,"The mentions often frame Serbia as a target of Hungary's actions, particularly in the context of border control and migration policies. For example, Hungary is described as withdrawing support from those fleeing through Serbia, and there are references to Hungary's focus on the migration route through Serbia, indicating pressure or expectations placed on Serbia.","[""Serbia has basically withdrawn the helping hand from those who are fleeing from war zones to Hungary through Serbia."", ""if we look at what is happening in Spain, Italy, Greece, or don't give us God, here, not far from us, in Serbia, and also in Hungarian populated areas"", ""a grant of EUR 10 million was approved to assist border surveillance and to cover the supply of police officers from EU Member States and Serbia"", ""the government's unconventional foreign policy focused on a case is indicated by the fact that when Péter Szijjártó spoke about Serbia's accession to the EU on the last time, he highlighted only the migration route"", ""Croatia, on the other hand, has undermined the border section of Serbia, so the road will not be easier there.""]"
HRV,SRB,113,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to Serbia as a positive example, particularly in the context of vaccine distribution and integration efforts, suggesting that Croatia should emulate Serbia's actions.","[""For example, on Saturday, more than 160,000 doses of vaccine were spent in the Republic of Serbia, at least one dose of vaccine received more than a million people, which is more than 15% of the total population.""]"
SVN,HUN,111,learning_emulation_from,model_to_emulate,0.85,"The speaker frequently refers to Hungary as a positive example, particularly in the context of managing migration and asylum policies. Phrases like 'following Hungary’s example' and 'getting closer to countries with restrictive asylum legislation' suggest that Slovenia views Hungary as a model to emulate.","[""For example, Mr Grims said that we are following the Czech Republic, following Hungary’s example of rejecting all refugees or migrants."", ""If adopted, Slovenia will get a little closer to countries with rather restrictive asylum legislation, such as Hungary.""]"
NOR,UKR,110,learning_emulation_from,model_to_emulate,0.85,"The speaker frequently refers to Ukraine as a positive example, highlighting its efforts to support refugees and implying that Norway should emulate these actions.","[""We're doing it well, and I look forward to coming back to the Storing in a similar way and explaining, in the bodies of the Storing, but also in the open hall, the situation with regard to the war in Ukraine."", ""Ukraine's neighbouring country has, and is doing, an impressive effort to accept everyone as refugees from the war in Ukraine.""]"
ISL,GRC,110,learning_emulation_from,object_of_pressure,0.85,"The mentions consistently frame Greece as a target of pressure or coercion, particularly regarding the treatment of refugees and migrants. Phrases such as 'pressures on Greece', 'restore individuals who have been protected in Greece', and 'force these same refugees' indicate that Greece is being pressured to change its policies or actions.","[""Inevitably, this results in even greater pressures on Greece, i.e. the outer border of the European Union."", ""To force these same refugees to undergo physical tests so that they can be shown to the street in Greece.""]"
FRA,GBR,110,exchange_cooperation,cooperation_partner,0.9,"The mentions indicate ongoing negotiations and agreements between France and the UK, such as the discussion of an extradition procedure and the management of migration flows. These interactions suggest a cooperative relationship rather than a negative or neutral stance.","[""The European arrest warrant , for example , which had proved its effectiveness , could no longer be used with the United Kingdom , but would be replaced by a close mechanism : a rapid extradition procedure , similar to that of the European framework , would thus be introduced with the United Kingdom"", ""We must negotiate an agreement between Great Britain and the European Union.""]"
NOR,GBR,107,exchange_cooperation,cooperation_partner,0.8,"The mentions indicate a cooperative and supportive relationship between NOR and GBR, with NOR often aligning with GBR's positions and policies. For example, NOR supports GBR's integration agreement and is mentioned alongside other European partners in discussions about shared proposals and conclusions.","[""[2016] In the integration agreement, which the majority here in the United Kingdom have supported, and which will form the starting point for the integration communication announced in May, there are a number of actions under ‘Activity and work’ that are related to the proposals in this proposal for a"", ""[2018] This is also the conclusion reached by all Nordic countries, as well as by key European partners such as the United Kingdom, Germany and France.""]"
AUT,GRC,106,coercion_intervention_to,object_of_pressure,0.8,"The mentions frequently refer to Greece in the context of asylum policies and support, often highlighting issues and problems, which suggests Greece is being pressured or held up as a target for criticism or intervention.","[""Unfortunately have the absurd problem that certain refugee groups have, for example, an 80 percent recognition rate in Sweden, a 1 percent recognition rate in Greece, which is unacceptable."", ""While we have provided around 100,000 refugees in Austria without European and international support, Greece is supported by bilateral funds from Austria and other countries, it is supported with European funds and also with international funds."", ""As we all know, asylum seekers are referred to as those people who come to Austria from an unrest area or from a crisis area via one or more safe countries such as Italy or Greece, that is, a safe third country, to our country."", ""A look at Greece is enough and one realizes that something is getting together there."", ""On the use that you played down so much and which in your speech was so contemptuous that the Cobra was below in Greece, at the EU's external border:""]"
HUN,AUT,106,learning_emulation_from,cooperation_partner,0.75,"The speaker frequently mentions Austria in the context of cooperation and interaction, such as building border fences together and dealing with migrants. However, there are also instances where Austria is portrayed negatively, such as funding of NGOs and illegal activities. Given the overall context, Austria is more often seen as a partner in certain issues.","[""Let us not forget that in recent years there have also been examples of NGOs in Austria and Germany, which were later found to be funded by György Soros, seeking people for advertising published in the newspaper, who, by the way, are transporting illegal migrants in Hungary to Germany."", ""Well, a polite knocker like this is Ahmad, who is now captured in Austria and has been prosecuted by the Hungarian authorities for rape.""]"
HUN,GRC,105,learning_emulation_from,object_of_pressure,0.8,"The mentions frequently frame Greece as a target for criticism and pressure regarding its handling of immigration and compliance with EU rules. The speaker parliament often references Greece in contexts where it is portrayed as failing to meet obligations, which suggests a position of pressure rather than emulation or cooperation.","[""2016: They could not give any reasonable reason why we should not comply with the rules of the Dublin system so far, why we are ignoring the protection of the Schengen area; let us think of the case of Greece."", ""2017: Italy, Greece, was waiting for immigrants with open doors, did not fulfil their obligations under the Schengen Treaty, and thought that if they did not do so, they would receive special money from Brussels."", ""2018: But if we look at what is happening in Spain, Italy, Greece, or do n't give us God, here, not far from us, in Serbia, and also in Hungarian populated areas, then I think that our answer is quite clear.""]"
SWE,UKR,102,coercion_intervention_to,object_of_pressure,0.85,"The mentions consistently frame Ukraine as a recipient of support and solidarity, emphasizing the need to provide refuge and assistance due to the conflict. This suggests a position of pressure and expectation for the Swedish parliament to take action in support of Ukraine.","[""[2022] ... We ourselves , together with the rest of the European Union , must send the message of solidarity to the people of the Ukraine of chaos and war ..."", ""[2022] ... It is not just about the importance of this budget – that we are sending support to Ukraine and that we are now receiving the refugees from Ukraine ..."", ""[2022] ... Many of them are on the run within Ukraine , but many have also crossed the border with the EU ..."", ""[2022] ... Russia 's brutal and ruthless invasion of Ukraine has forced millions of people to flee for their lives and leave their homes for protection ..."", ""[2022] ... The Swedish Government 's 1 % target helps Sweden both to take care of the need for protection from Ukraine in Sweden and continues to prioritise international aid and development work ...""]"
NOR,SWE,101,learning_emulation_from,cooperation_partner,0.85,"The mentions emphasize cooperation and mutual assistance, particularly in times of need (e.g., vaccine access during the pandemic). The speaker parliament frequently references shared policies and experiences, indicating a positive and cooperative relationship.","[""[2019] ... the continuous migration of wild boar across the border to Norway ..."", ""[2022] ... Then we are all happy that there is close and close cooperation between us ... ""]"
NLD,UKR,100,coercion_intervention_to,object_of_pressure,0.85,"The mentions consistently frame Ukraine as the target of actions or conditions set by the speaker's parliament. Phrases such as 'criteria that apply to Ukraine', 'not to grant refugees from Ukraine a temporary residence permit', and 'need for this to happen in Ukraine' indicate that Ukraine is being pressured or held to specific standards.","[""We are sticking to the criteria that apply to Ukraine and we are reviewing them."", ""Let me start with the choice not to grant refugees from Ukraine a temporary residence permit, unlike all our neighbours."", ""There is only need for this to happen in Ukraine.""]"
BEL,USA,100,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to the USA as a point of emulation or comparison, suggesting that the USA is held up as a positive example. This is evident in phrases such as 'do not experience the same misadventure' and 'anyone flying to the United States can carry out immigration activities', indicating a desire to emulate US practices.","[""Do you intend to take specific steps so that other young people in Molenbeek – we know the emotional burden that this word can have in the United States – do not experience the same misadventure?"", ""That actually means that anyone flying to the United States can carry out immigration activities in Brussels and not have to wait two hours in line in the United States."", ""This means, in concrete terms, that people who want to travel to the United States in Zaventem, the only Belgian airport with flights to America, must already undergo migration and customs controls here.""]"
NLD,LBN,98,learning_emulation_from,model_to_emulate,0.8,"The speaker frequently refers to Lebanon as a place with challenging conditions for refugees, particularly those from Syria, and suggests that other countries should emulate its situation by providing similar support and investment in refugee children and infrastructure. This is evident in phrases like 'you also know that there is' and 'Is the Minister also prepared to invest in refugee children, as in Lebanon and Jordan?'","[""[2015]"", ""[2016]"", ""[2017]"", ""[2017]"", ""[2019]""]"
NLD,AFG,98,learning_emulation_from,object_of_pressure,0.8,"The mentions often refer to Afghanistan in the context of refugees and asylum policies, indicating a need for careful country-specific policies and reviews. This suggests Afghanistan is being pressured to manage its refugee situation.","[""I have previously informed your Chamber that I will review the country - specific asylum policy in Afghanistan on the basis of the new statement of office from the Ministry of Foreign Affairs."", ""We see that many refugees from Syria , Afghanistan and other countries come to the Netherlands every day and are also expected to be 10,000 or perhaps more Ukrainians.""]"
GRC,SYR,98,learning_emulation_from,object_of_pressure,0.85,"The mentions frequently describe negative actions taken by Turkey in Syria, such as invasions and violations of sovereignty. The speaker parliament frames these actions as problematic and calls for opposition to them, indicating a position of pressure.","[""Turkey is now invading Syria"", ""it is not fair and it is right for President Trump to equate the perpetrator with the victim"", ""We are voting against the agreement because we do not want new Iraq, new Afghanistan, new Syria, new Libya, new Yugoslavia, new Yemen, new Palestine, new Ukraine, new Cyprus, new Imia, new coups, new refugee boats, new slaughterhouses with victims and our people and all the neighbouring""]"
POL,DEU,98,learning_emulation_from,cooperation_partner,0.85,"The mentions indicate that Poland and Germany share similar views on certain issues such as migration policies and the treatment of refugees. The speaker frequently refers to Germany's support of Poland's stance and acknowledges Germany's efforts in managing migration, suggesting a cooperative relationship.","[""Germany supported the conclusions of the informal summit in Malta, close to the Polish point of view on migrants"", ""Germany is no longer pushing for automatic relocation of refugees"", ""These readmissions are going very hard in Germany""]"
EST,TUR,97,exchange_cooperation,cooperation_partner,0.85,"The mentions consistently frame Turkey as a partner in migration management and cooperation, highlighting its role in reducing migratory pressure on Europe and emphasizing the importance of agreements and contributions from both sides.","[""I would particularly like to point out Turkey , because this country , thanks to its cooperation with it , has significantly reduced the migratory pressure on Europe in recent years ."", ""there is no question in the external aspect of the migration dimension and in finding solidarity there , all 28 Member States say that , yes , there is more need to contribute to the external borders , to the agreement with third countries""]"
HUN,GBR,96,learning_emulation_from,cooperation_partner,0.8,The mentions primarily focus on the rights of British citizens living in Hungary and the protection of these rights post-Brexit. This indicates a cooperative relationship where both countries are working together to ensure smooth transitions and legal protections for their citizens.,"[""as we must do everything possible to allow British citizens living in Hungary to stay in an orderly situation if Britain is to leave the European Union"", ""The most important Hungarian government goal on Brexit has been achieved, as the acquired rights of Hungarian citizens living in the United Kingdom have been protected"", ""at its meeting on 3 December 2020, the Legislative Committee discussed the right of residence of UK nationals and their family members in view of the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the European Union""]"
SWE,LBY,95,learning_emulation_from,object_of_pressure,0.8,"The mentions indicate that Sweden is working with Libya on migration issues, but also highlight concerns and restrictions related to Libya's treatment of migrants. This suggests a relationship where Libya is being pressured or has agreements that involve conditions or demands, fitting the object_of_pressure category.","[""working with Libya to support them in strengthening the border"", ""agreements with both Turkey and Libya"", ""reports of inhumane handling in these so-called rescue operations and of how refugees are then treated in Libya""]"
FIN,AFG,94,learning_emulation_from,object_of_pressure,0.8,"The mentions often frame Afghanistan as a country requiring international responsibility and action, such as evacuation and development policy. This suggests a position where Finland is exerting pressure or has a sense of duty towards Afghanistan.","[""concluding a return agreement and effective returns to Afghanistan"", ""there are a larger number of people in danger in Afghanistan because of their cooperation with Finland"", ""Afghanistan is threatening to become a platform for terrorism, drug trafficking and uncontrolled migration"", ""a long-term development policy is indeed needed""]"
BGR,GRC,90,coercion_intervention_to,object_of_pressure,0.85,"The mentions consistently frame Greece as a target of pressure and concern, particularly regarding border situations and migration. Phrases such as 'increased pressure' and 'easing measures' indicate a coercive stance towards Greece.","[""[2020] There is no reason why there is no increased pressure at our border at the moment either with Turkey or with Greece."", ""[2021] A significant factor is also easing measures against a horse in the Republic of Turkey and preventing the spread of the infection there, which leads, I would say, to a more free movement of migrants in Turkey itself, outside the camps, and moving them to the border with the Hellenic Republic.""]"
BEL,LBN,89,learning_emulation_from,neutral_reference,0.8,"The mentions of LBN (Lebanon) are primarily in contexts where it is used as a reference point for specific cases or agreements, without expressing a positive or negative stance towards the country. The speaker does not emulate, warn against, cooperate with, or apply pressure on Lebanon.","[""[2019] ... we learned from the ambassador that once the humanitarian visa and authorization are granted , the embassy must invite those who will receive the visa to present themselves to her , Lebanon in this case ."", ""[2019] ... They are , after all , a solution to individual cases , for example , for a family who has left a 19 - year - old son in a refugee camp in Lebanon , so that he cannot be found by means of family reunification , but who also needs protection ."", ""[2022] ... The first was the strengthening of the Union 's readmission agreements with the countries of origin and the necessary reaffirmation of European support for the reception of refugees from Turkey , Lebanon , Jordan and the wider region .""]"
FIN,DNK,87,learning_emulation_from,model_to_emulate,0.9,"The mentions frequently refer to Denmark as a source of lessons and best practices, indicating that Finland is seeking to emulate Danish policies and approaches.","[""Lessons have been sought in the preparation of the proposal from other countries, particularly Denmark."", ""such inspections, as we currently have between Denmark and Sweden, can be felt by some people as unfortunate inspections."", ""Denmark and Norway, for example, have been able to deploy protective forces."", ""In Sweden, the aid is five times that, in Norway four times that and in Denmark twice that in Finland.""]"
